epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2532.23,0.98785,0.63019,1.18364,0.74771,0.75487,0.82781,0.59664,1.06648,0.63883,1.30032,0.0096436,0.0096436,0.0096436
56,2577.96,0.98796,0.62402,1.17948,0.77885,0.73753,0.81914,0.59771,1.05808,0.64467,1.2934,0.009637,0.009637,0.009637
57,2623.83,0.98276,0.62103,1.16966,0.74756,0.74811,0.81238,0.58915,1.07696,0.65089,1.30487,0.0096304,0.0096304,0.0096304
58,2669.52,0.98081,0.6195,1.17084,0.73103,0.76768,0.81244,0.58201,1.06812,0.65908,1.30497,0.0096238,0.0096238,0.0096238
59,2715.19,0.98184,0.62202,1.17589,0.75465,0.72913,0.8107,0.58363,1.06115,0.66162,1.302,0.0096172,0.0096172,0.0096172
60,2760.86,0.9813,0.62305,1.17905,0.77979,0.73123,0.82333,0.59707,1.06264,0.64223,1.29542,0.0096106,0.0096106,0.0096106
61,2806.5,0.97573,0.61879,1.17079,0.73829,0.75019,0.80982,0.59167,1.0731,0.64539,1.3039,0.009604,0.009604,0.009604
62,2852.26,0.98167,0.61999,1.17809,0.74533,0.71726,0.79484,0.5753,1.06771,0.65889,1.29991,0.0095974,0.0095974,0.0095974
63,2897.97,0.97005,0.61489,1.17183,0.78766,0.71256,0.82171,0.59573,1.06439,0.65167,1.29885,0.0095908,0.0095908,0.0095908
64,2943.63,0.97609,0.61066,1.1696,0.73176,0.75268,0.81257,0.58931,1.06411,0.64605,1.30432,0.0095842,0.0095842,0.0095842
65,2989.31,0.95664,0.59636,1.16388,0.78038,0.76408,0.83782,0.61375,1.0539,0.61892,1.29601,0.0095776,0.0095776,0.0095776
66,3035.11,0.95475,0.59356,1.16487,0.78047,0.74739,0.8349,0.61212,1.05111,0.62081,1.29429,0.009571,0.009571,0.009571
67,3080.8,0.95094,0.59264,1.15972,0.76213,0.77056,0.83455,0.60751,1.07164,0.62816,1.30407,0.0095644,0.0095644,0.0095644
68,3126.45,0.95905,0.58695,1.15903,0.76963,0.73183,0.83033,0.60956,1.05525,0.6293,1.28242,0.0095578,0.0095578,0.0095578
69,3172.2,0.95551,0.58297,1.14892,0.76413,0.76774,0.82971,0.60526,1.05811,0.62189,1.29097,0.0095512,0.0095512,0.0095512
70,3217.87,0.95085,0.58906,1.15273,0.78603,0.75224,0.8372,0.61332,1.06231,0.61075,1.29428,0.0095446,0.0095446,0.0095446
71,3263.47,0.93827,0.5731,1.1427,0.80843,0.74837,0.83875,0.6184,1.05087,0.608,1.28444,0.009538,0.009538,0.009538
72,3309.36,0.93784,0.56754,1.1444,0.76214,0.76436,0.82858,0.60471,1.0617,0.62384,1.30102,0.0095314,0.0095314,0.0095314
73,3354.99,0.94118,0.57352,1.15115,0.76535,0.76594,0.84288,0.62016,1.04688,0.61399,1.29078,0.0095248,0.0095248,0.0095248
74,3400.67,0.94664,0.57959,1.15822,0.78689,0.76107,0.83131,0.61501,1.04657,0.61589,1.28876,0.0095182,0.0095182,0.0095182
75,3446.3,0.93622,0.57112,1.14796,0.81141,0.75946,0.84505,0.62561,1.03688,0.58952,1.28309,0.0095116,0.0095116,0.0095116
76,3492,0.92821,0.56349,1.14218,0.78633,0.7568,0.83873,0.62049,1.03228,0.60895,1.27903,0.009505,0.009505,0.009505
77,3537.65,0.92936,0.56041,1.13892,0.7548,0.77971,0.84043,0.62,1.04197,0.60168,1.28777,0.0094984,0.0094984,0.0094984
78,3583.34,0.9217,0.5581,1.13792,0.79698,0.74556,0.84279,0.63092,1.0318,0.59364,1.28117,0.0094918,0.0094918,0.0094918
79,3629.07,0.91976,0.55355,1.13824,0.77996,0.77319,0.8389,0.61825,1.05157,0.60417,1.29101,0.0094852,0.0094852,0.0094852
